Unnamed: 0,Título,Nota,N_Avaliações,Desconto,Marca,Material,Gênero,Temporada,Review1,Review2,Review3,Qtd_Vendidos,Preço,Nota_MinMax,N_Avaliações_MinMax,Desconto_MinMax,Preço_MinMax,Marca_Cod,Material_Cod,Temporada_Cod,Qtd_Vendidos_Cod,Marca_Freq,Material_Freq
1,Kit 10 Cuecas Boxer Lupo Cueca Box Algodão Masculina Atacado,4.5,3034.0,18.0,lupo,algodão,Masculino,outono/inverno,"As cuecas são boas; porém você percebe na costura que não são originais! já experimentei duas brancas, e o mesmo acontece com as duas, quando eu subo a cueca, ela dá um estralinho como se tivesse rasgado e quando olhei, soltou um pouco da costura de lado! tem que vestir com muito cuidado! fora isso, é uma replica muito bem feita da original! aaah. Não gostei muito do elastico de cima! é muito curtinho, queria q fosse maior. Mas resumindo: cueca bem confortavel, nao dobra e nem sobe.","Pelo preço promocional, com ctz tem algum defeito de fabricação. Pq não é normal furar a cueca na imenda na primeira vez que vc usa. Infelizmente isso aconteceu comigo e não foi só com uma cueca e sim com 3 unidades. Agora eu não sei o que é pior, perder 16 reais do valor da cueca usando ela apenas algumas horas ou ficar com a cueca furada no trabalho.","Serviram muito bem, porém é nítido que o pano não é algodão, e posso confirmar a diferença pois possuo o mesmo modelo de cuecas lupo que comprei em outra ocasião e comparando ambos os panos e costuras essa diferença fica notável.
Pelo custo beneficio e mesmo sendo um material diferente, aparenta valer a pena, porém, só o tempo (e algumas lavagens rs) irá dizer se é de qualidade.",+10mil,232.89,0.8148148148148148,0.3341780520052886,0.2131147540983606,0.3785853142798676,463,25,3,10000.0,0.0422919508867667,0.176443838108231
2,Kit Com 10 Cuecas Boxer Algodão Sem Costura Zorba 781,4.7,5682.0,20.0,zorba,algodão,Masculino,não definido,"O tecido é bom e são confortáveis. Só que a numeração não é precisa, visto 40 então tentei comprar a p conforme especificado no guia de tamanho. Porém, para minha sorte não tinha mais p disponível e eu comprei m. O resultado é que caiu perfeitamente. Então uma dica é comprar um tamanho maior. Antes deixar o bicho solto do quê sem ar.","Vendo comentários de outros consumidores vejo que quanto ao tamanho realmente há problemas; tenho 1. 85 e peso 88 kg, pedi o tamanho maior disponível, gg, e ficou um pouco apertado mesmo assim. Já comprei em lojas exatamente a mesma medida e dá pra notar a diferença. Mas no geral o produto é bom, só atentem para o tamanho.","Produto não é nem de longe original, tecido grosso e com pouco elastano.",+50mil,199.9,0.888888888888889,0.625936535918907,0.2459016393442623,0.3223287063879131,838,25,1,50000.0,0.0090950432014552,0.176443838108231
3,Kit 10 Cuecas Boxer Mash Algodão Cotton Box Original Oferta,4.6,1700.0,22.0,mash,algodão,Masculino,primavera/verão,"As cuecas são boas, porém meu marido usa g e pedir gg por causa dos outros comentários de compradores que falaram ser forma pequena. Então ficaram muito grandes!!! com certeza logo vão lacear por esse motivo. Tentar lavar a mão para evitar que fique caindo tão rápido. Recomendo a compra, porém podem pedir o tamanho correto que usam. Sem essa presepada de pedir tamanho maior. Sobre qualidade somente depois de lavar para saber ao certo!!! na próxima, pedirei o número que ele realmente usa.","E o tamanho certo, mas em baixo dela, fica muito curto, apertado demais. Aperta todos os ovos, na moral me arrependo de ter comprado. Nesse valor ainda, melhor ter comprado da lupo.","Produto não parece.
Original e veio 2 modelos completamente distintos. Costuras grosseiras, elastico parece esgarçado e com rebarbas.",+10mil,229.39,0.8518518518518517,0.1871970030850595,0.2786885245901639,0.3726168957402544,494,25,7,10000.0,0.0109140518417462,0.176443838108231
4,Kit 3 Short Jeans Feminino Cintura Alta Barato Atacado,4.4,507.0,9.0,menina linda,jean,Feminino,primavera/verão,"Estou encantada com essas peças!.
Os shorts são lindos e super confortáveis, comprem sem medo!.","Recomendo, tecido confortável, igual a foto.","Gostei muito dos shorts, material bom, para usar no dia a dia está ótimo.",+1000,129.2,0.777777777777778,0.0557514323490524,0.0655737704918032,0.2017666518877255,509,74,7,1000.0,0.0100045475216007,0.0254661209640745
5,Blusa + Calça Térmica Treino Futebol Criança Infantil Fleece,4.7,58.0,5.0,roupa zero grau,termico unissex,Sem gênero infantil,outono/inverno,"Produto ótimo , mesmo após várias lavagens não forma bolinha, não encolhe , não desbota.
Já tinha comprado ano passado e comprei novamente esse ano.
Minha filha tem 5 anos é magrinha, comprei o tamanho 8 e ficou folgadinho, vai usar bastante.
Meu filho de 10 anos comprei o 14 e também ficou bem folgadinho.
Podem comprar sem medo de errar. 😊.","Produto de boa qualidade.
Não gruda pêlos e nem faz bolinha.
Super quentinha.",Super quentinho. Só achei a gola muito aberta.,+100,78.03,0.888888888888889,0.006280299691494,0.0,0.1145083728385798,669,166,3,100.0,0.0022737608003638,0.0009095043201455
24,Kit 4 Cuecas Boxer Lupo Em Algodão Masculina Cotton Original,4.6,2382.0,22.0,lupo,algodão,Masculino,primavera/verão,"Muito bom , eu sempre gostei de usar cueca com folga mas resolvi seguir as orientações das medidas na tabela e ficou ótimo. Peguei a m (normalmente pego um tamanho acima) mas ficou muito bom, perfeito. Se tivesse arriscado no tamanho g teria ficado muito largo. Tenho 1. 75 altura e 76kg.",As cuecas são de péssima qualidade as mais falsas que existe. Eu uso cuecas lupo há muito tempo não gostei porque é anunciado como original. Estou só o ódio.,"Eu tenho 1,80 e peso 80 kg, a g ficou perfeita.",+10mil,89.9,0.8518518518518517,0.2623402379903041,0.2786885245901639,0.1347498380000682,463,25,7,10000.0,0.0422919508867667,0.176443838108231
25,Kit 2 Cuecas Boxer Lupo Basic Microfibra Sem Costura Box,4.8,1429.0,30.0,lupo,microfibra,Masculino,primavera/verão,Excelente produto e muito durável. Não sei como vai ser pq este produto dura muito. Comprei novo conjunto depois de quase 3 anos. Então se você quiser esquecer de comprar cueca pelo menos por 3 anos este é o produto ideal.,"Já conhecia esse produto de alta qualidade e preço baixo, tenho uma cueca dessa a 5 anos e ainda vai servir por mais tempo kkk, as cuecas de poliamida da lupo são excelentes, já as de algodão não duram um mês, não comprem as de algodão, comprem essa de poliamida são muito boas e bem duráveis m.","Produto original, estava com medo de comprar e não ser igual ao original porém me surpreendeu a qualidade do produto em breve vou comprar mais cuecas!.",+10mil,69.99,0.925925925925926,0.1573380343763772,0.4098360655737705,0.1007980628218682,463,101,7,10000.0,0.0422919508867667,0.0300136425648021
38,Pacote 4 Cuecas Boxer Algodão Box Masculina Cotton Zorba,4.6,2290.0,25.0,zorba,algodão,Masculino,primavera-verão outono-inverno,"A cueca é sensacional! a melhor cueca que eu já tive. Tenho o quadril bem largo e sempre tive dificuldade de achar uma cueca boa, então se vc quer uma cueca confortável, vc achou!.","Na foto de corea diversas tem 4 cores, então dá a entender que viria as 4 cores. Mais veio 2 brancas, coisa que detesto branco, mais por achar q viria somente 1 então relevei, mais veio 2, coisa q me decepcionei. O tecido é bom. O formato é um pouco grande, mais vai servir.","Já conhecia o produto, então, sem novidades. Excelente qualidade. O único inconveniente foi que os pacotes vieram repetidos, portanto, apenas 2 cores ao invés de 4 como esperava.",+10mil,105.99,0.8518518518518517,0.25220361392684,0.3278688524590164,0.1621875106578902,838,25,6,10000.0,0.0090950432014552,0.176443838108231
42,Faixa Peitoral Para Ginecomastia Reduz Volume Do Peito Homem,4.4,78.0,18.0,men'spa,"82% poliéster, 18% elastodieno",Masculino,não definido,As tetas ficaram bem de boas.,Produto perfeito isso aumenta a autoestima de um jeito incrivel muito obrigado.,"Comprei o tamanho m e precisei dar um ajuste nela, porém após a cirurgia perdeu o volume, pode ter sido por isso. Mas muito boa, de início da sensação que ficará descendo, mas depois acostuma.",+1000,119.31,0.777777777777778,0.008483913618334,0.2131147540983606,0.1849016063572184,507,10,1,1000.0,0.001819008640291,0.001819008640291
43,"Kit Com 4 Short Para Usar Embaixo Da Roupa, Vestido, Saia",4.2,88.0,11.0,silvest lingerie,poliéster,Feminino,primavera/verão,Estou dando 5 estrelas em todos pq tudo que compro no mercado livre e ótimo.,São só fino mais serve pra usar não esquenta sao fresquinho.,"Não veio como na foto.
É minúsculo!.
O tamanho eg adulto doei para uma criança de 9 anos.
O cumprimento das coxas veio errado! na foto mostra uma coisa e veio com 3 dedos !.
Não gostei!.",+1000,57.93,0.7037037037037038,0.009585720581754,0.0983606557377049,0.0802325977968009,719,122,7,1000.0,0.0022737608003638,0.1173260572987721
